	Wort	Emotionalität	Sentiment Score	Valence Rating	Korrelation	Interpretation
38	Mölauzegt	emo	[0.4019, 0.6486, -0.5106, 0.9403, 0.9231, 0.802, 0.4404, -0.7269, -0.3612, -0.4215, 0.9042, 0.9545, 0.0, 0.875, 0.0, 0.7579, 0.8126, 0.6908, 0.3182, -0.7184, 0.6369, 0.0, -0.743, 0.765, 0.91, -0.0572, 0.6908, 0.6369, -0.6808, 0.743, 0.8126, 0.9118, 0.34]	[-2, -3, -2, -3, -1, -2, -2, -2, -1, -2, -1, -3, -3, -1, -1, -2, -2, -1, -3, -2, -1, -2, -2, 1, -2, -3, -3, -3, -3, -2, -3, -3, 1]	(0.05581303235710701, 0.7577023807521661)	weak
39	Mölauzegt	neu	[-0.1027, 0.7096, 0.8885, -0.4404, -0.9186, 0.5804, 0.4404, -0.7717, 0.5106, 0.886, 0.0, -0.9382, 0.7003, 0.5574, -0.6124, -0.8316, -0.972, 0.8591, 0.2263, 0.1027, -0.7506, 0.743, -0.5355, 0.9844, 0.7696, 0.3182, 0.0, 0.9738, 0.6808, 0.7269, -0.9277, 0.5106]	[2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 3, 0, 1, -1, 2, 2, 0, 0, 1, 0, 0]	(-0.12616848682259235, 0.49140344593895213)	weak
40	Troff	emo	[0.0, -0.6412, 0.0516, -0.8807, 0.9709, -0.5574, -0.1999, -0.7506, -0.8049, -0.0571, 0.0, 0.6808, 0.3182, -0.5277, 0.0, -0.7096, 0.8519, 0.7506, -0.5106, 0.7579, -0.7717, 0.9169, 0.6124, -0.836, 0.25, 0.7845, -0.8807, 0.4588, -0.6597, -0.5574, -0.1531, 0.2732, -0.2023]	[2, 3, -1, 3, 2, 1, 1, 2, 3, 1, 2, 3, 2, 2, 3, 1, 1, 1, 2, 3, 1, 1, 3, 0, 2, 3, 2, 3, 2, 1, 3, 2, 2]	(0.12391908391622702, 0.49203972316504224)	weak
41	Troff	neu	[-0.5423, -0.8316, 0.5106, 0.875, 0.7184, 0.5719, 0.4215, -0.9349, -0.872, -0.1027, -0.836, 0.8555, 0.7845, -0.2023, 0.8176, 0.7096, 0.9062, 0.9875, 0.9136, -0.7783, -0.5859, 0.6908, 0.8732, -0.8807, -0.6705, 0.4215, 0.4588, -0.5859, 0.959, 0.3818, -0.872, -0.8442, 0.0]	[-1, -1, -1, -1, 1, -1, 0, 2, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 2, 0, 1, 3, 0, 1, 0, 0, 2, 1, 2, 0, 1, -1]	(-0.04485161202590634, 0.804256028075259)	weak
42	Bingsemöl	emo	[0.4939, 0.8641, 0.9349, 0.8074, 0.9313, 0.765, -0.6249, 0.7003, 0.7269, 0.9477, 0.9062, 0.4588, -0.7506, 0.5859, -0.4939, -0.3818, -0.296, -0.6249, 0.0, 0.9382, -0.9349, -0.6124, 0.7184, 0.6369, 0.6908, 0.3975, 0.5859, 0.8779, 0.25, 0.2023, -0.4404, 0.4404, -0.743]	[-2, -1, -1, -2, -1, -1, -2, -1, -1, -2, 0, 1, -2, 0, 0, -1, -1, 2, -1, 0, 0, 1, -2, 0, 0, -1, 1, -2, -2, -1, -2, -1, 2]	(-0.25479375968183104, 0.1524347892855626)	weak
43	Bingsemöl	neu	[0.3182, -0.8779, 0.5719, 0.0, 0.3182, 0.6597, 0.9509, -0.6705, 0.0, -0.5974, 0.2263, 0.891, -0.9136, -0.8658, -0.91, 0.0258, 0.9801, -0.6808, -0.9042, -0.7096, -0.5106, -0.9501, 0.8591, -0.9287, -0.6124, 0.9712, 0.9477, -0.8176, 0.8555, 0.3612, 0.5994, -0.3612]	[1, 1, 1, -1, 2, 3, 0, 1, 0, 0, 1, 0, -1, 0, 1, 1, 1, 1, 2, 2, 2, 3, 1, 1, -1, 1, 2, -1, 1, 0, 3, 2]	(0.12667758211283342, 0.48964260958335126)	weak
44	Ferandsor	emo	[-0.9001, 0.8555, 0.4767, -0.9517, -0.936, -0.8225, -0.4215, 0.765, -0.7269, -0.5994, -0.296, -0.6908, 0.5994, 0.93, 0.0, 0.4939, -0.7003, -0.8658, 0.0, -0.34, 0.9595, -0.4767, 0.8316, 0.0516, 0.3182, 0.9601, 0.6908, 0.0, 0.7845, -0.9081, -0.8225, 0.9081, 0.8481]	[-2, -1, -2, -3, 1, -2, -2, -2, -2, -1, -1, -3, -3, -2, -1, -3, -2, -2, -2, -2, -1, 2, 0, 0, -2, -3, -2, -2, -2, -2, -3, -3, 1]	(0.00048049474131407754, 0.9978825786168862)	weak
45	Ferandsor	neu	[0.0, -0.7351, 0.5859, 0.0772, 0.6369, -0.4756, 0.8689, 0.9531, 0.5994, 0.7906, 0.0, 0.9607, 0.0772, -0.4019, -0.765, -0.8402, -0.9186, -0.8689, 0.946, -0.5267, -0.8519, 0.9595, -0.4939, -0.8074, -0.6486, 0.8957, 0.91, 0.0, 0.9022, -0.802, 0.9081, -0.7717]	[-1, -2, -2, -1, 0, 0, -2, -1, -1, 2, -2, 0, -1, 0, 1, -1, -3, 0, -1, 0, 2, -3, 1, -1, 0, 2, -1, 1, 2, -1, -1, -2]	(0.023851891088238333, 0.8969013299536343)	weak
46	Struk	emo	[-0.8625, 0.0, 0.9638, -0.7579, 0.9794, -0.8689, -0.4767, 0.4404, 0.765, 0.9735, -0.431, -0.836, 0.93, -0.296, 0.0, 0.4939, -0.8225, -0.1531, 0.4585, -0.8807, 0.0516, -0.0258, 0.8689, 0.7783, -0.6705, 0.9638, 0.3818, 0.6808, -0.5719, -0.5574, -0.5423, 0.0, 0.743]	[2, 3, 3, 3, 2, 2, 3, 2, 2, -2, 3, 3, 3, 2, 3, 2, 3, 1, 0, 3, 3, 1, 3, 1, 2, 3, 3, 3, 3, -1, 3, 3, 0]	(-0.21271842719905737, 0.23462913451530162)	weak
47	Struk	neu	[0.6486, -0.2263, 0.34, 0.9062, 0.0, 0.7964, 0.7184, 0.9423, 0.0772, -0.9501, 0.0, -0.5859, -0.9517, -0.6705, -0.1027, -0.5423, -0.8991, -0.7579, 0.9719, 0.8126, -0.6808, 0.5423, -0.7717, 0.6249, 0.6369, 0.9136, -0.0258, 0.1779, -0.8442, -0.1027, 0.8481, 0.765]	[3, 2, 2, 2, 1, 2, 0, 3, 2, 1, 1, 1, 0, 2, 2, 3, 0, 2, 3, 2, 1, 3, 3, 2, 0, 1, 3, 0, 3, 1, 3, 1]	(0.17097210388836304, 0.34947981310376064)	weak
