"VP_Code","arousal_rating","trials_word.thisIndex","word","code","group","valence_rating","arousal","time"
"ER1WN",2,10,"Wumeizauch","emo","Control",-2,2,"pre"
"ER1WN",2,27,"Wunicher","emo","Control",-2,2,"pre"
"ER1WN",5,7,"Ismiprämpf","emo","Control",1,1,"pre"
"ER1WN",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"ER1WN",3,5,"Preier","emo","Control",-1,1,"pre"
"ER1WN",4,21,"Mölauzegt","neu","Control",0,0,"pre"
"ER1WN",6,15,"Mege","emo","Control",2,2,"pre"
"ER1WN",1,2,"Zimerhubst","emo","Control",-3,3,"pre"
"ER1WN",4,29,"Ferandsor","neu","Control",0,0,"pre"
"ER1WN",6,26,"Faube","neu","Control",2,2,"pre"
"ER1WN",3,17,"Plüpp","neu","Control",-1,1,"pre"
"ER1WN",7,3,"Zwelde","emo","Control",3,3,"pre"
"ER1WN",7,19,"Namistell","neu","Control",3,3,"pre"
"ER1WN",1,9,"Rugliebast","emo","Control",-3,3,"pre"
"ER1WN",4,0,"Vul","neu","Control",0,0,"pre"
"ER1WN",3,13,"Bismirbiel","emo","Control",-1,1,"pre"
"ER1WN",5,1,"Neif","emo","Control",1,1,"pre"
"ER1WN",7,12,"Wupforau","emo","Control",3,3,"pre"
"ER1WN",4,24,"Troff","neu","Control",0,0,"pre"
"ER1WN",7,25,"Odef","neu","Control",3,3,"pre"
"ER1WN",4,8,"Glühm","neu","Control",0,0,"pre"
"ER1WN",3,22,"Bingsemöl","neu","Control",-1,1,"pre"
"ER1WN",7,16,"Weforshank","neu","Control",3,3,"pre"
"ER1WN",6,20,"Struk","neu","Control",2,2,"pre"
"ER1WN",7,4,"Herklögen","emo","Control",3,3,"pre"
"ER1WN",4,11,"Häugnung","neu","Control",0,0,"pre"
"AS27SN",5,24,"Troff","neu","Control",1,1,"pre"
"AS27SN",7,1,"Neif","emo","Control",3,3,"pre"
"AS27SN",1,6,"Muschürdur","emo","Control",-3,3,"pre"
"AS27SN",4,21,"Mölauzegt","neu","Control",0,0,"pre"
"AS27SN",7,15,"Mege","emo","Control",3,3,"pre"
"AS27SN",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"AS27SN",3,9,"Rugliebast","emo","Control",-1,1,"pre"
"AS27SN",7,16,"Weforshank","neu","Control",3,3,"pre"
"AS27SN",7,3,"Zwelde","emo","Control",3,3,"pre"
"AS27SN",4,0,"Vul","neu","Control",0,0,"pre"
"AS27SN",5,29,"Ferandsor","neu","Control",1,1,"pre"
"AS27SN",4,17,"Plüpp","neu","Control",0,0,"pre"
"AS27SN",3,2,"Zimerhubst","emo","Control",-1,1,"pre"
"AS27SN",5,12,"Wupforau","emo","Control",1,1,"pre"
"AS27SN",4,11,"Häugnung","neu","Control",0,0,"pre"
"AS27SN",2,22,"Bingsemöl","neu","Control",-2,2,"pre"
"AS27SN",3,5,"Preier","emo","Control",-1,1,"pre"
"AS27SN",4,7,"Ismiprämpf","emo","Control",0,0,"pre"
"AS27SN",4,13,"Bismirbiel","emo","Control",0,0,"pre"
"AS27SN",2,27,"Wunicher","emo","Control",-2,2,"pre"
"AS27SN",5,25,"Odef","neu","Control",1,1,"pre"
"AS27SN",6,23,"Iberletsch","neu","Control",2,2,"pre"
"AS27SN",2,10,"Wumeizauch","emo","Control",-2,2,"pre"
"AS27SN",5,20,"Struk","neu","Control",1,1,"pre"
"AS27SN",3,8,"Glühm","neu","Control",-1,1,"pre"
"AS27SN",5,4,"Herklögen","emo","Control",1,1,"pre"
"AS27SN",5,26,"Faube","neu","Control",1,1,"pre"
"AS27SN",5,18,"Skibt","neu","Control",1,1,"pre"
"AS27SN",4,14,"Enkmitas","emo","Control",0,0,"pre"
"AS27SN",4,19,"Namistell","neu","Control",0,0,"pre"
"AO11DG",7,23,"Iberletsch","neu","Control",3,3,"pre"
"AO11DG",4,21,"Mölauzegt","neu","Control",0,0,"pre"
"AO11DG",2,14,"Enkmitas","emo","Control",-2,2,"pre"
"AO11DG",7,1,"Neif","emo","Control",3,3,"pre"
"AO11DG",1,27,"Wunicher","emo","Control",-3,3,"pre"
"AO11DG",2,3,"Zwelde","emo","Control",-2,2,"pre"
"AO11DG",6,26,"Faube","neu","Control",2,2,"pre"
"AO11DG",6,19,"Namistell","neu","Control",2,2,"pre"
"AO11DG",2,13,"Bismirbiel","emo","Control",-2,2,"pre"
"AO11DG",3,29,"Ferandsor","neu","Control",-1,1,"pre"
"AO11DG",4,11,"Häugnung","neu","Control",0,0,"pre"
"AO11DG",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"AO11DG",4,8,"Glühm","neu","Control",0,0,"pre"
"AO11DG",1,6,"Muschürdur","emo","Control",-3,3,"pre"
"AO11DG",6,15,"Mege","emo","Control",2,2,"pre"
"AO11DG",6,16,"Weforshank","neu","Control",2,2,"pre"
"AO11DG",3,9,"Rugliebast","emo","Control",-1,1,"pre"
"AO11DG",5,17,"Plüpp","neu","Control",1,1,"pre"
"AO11DG",2,2,"Zimerhubst","emo","Control",-2,2,"pre"
"AO11DG",3,10,"Wumeizauch","emo","Control",-1,1,"pre"
"AO11DG",6,22,"Bingsemöl","neu","Control",2,2,"pre"
"AO11DG",5,18,"Skibt","neu","Control",1,1,"pre"
"AO11DG",4,0,"Vul","neu","Control",0,0,"pre"
"AO11DG",4,25,"Odef","neu","Control",0,0,"pre"
"AO11DG",4,24,"Troff","neu","Control",0,0,"pre"
"AO11DG",6,12,"Wupforau","emo","Control",2,2,"pre"
